City,Temperature,Condition,Humidity,Wind
Kukatpally,30.82,scattered clouds,55,2.57
Krishnanagar,36.15,overcast clouds,45,6.19
Kishangarh,34.85,broken clouds,39,4.33
Kharagpur,35.28,broken clouds,52,6.98
Khandwa,33.66,moderate rain,52,1.59
Khammam,33.37,broken clouds,52,4.75
Kashipur,39.97,broken clouds,30,0.6
Karur,29.18,overcast clouds,61,9.84
Kannauj,41.18,moderate rain,28,1.08
Kanchipuram,34.66,overcast clouds,33,8.1
Kalyān,29.95,light rain,68,3.69
Kaithal,42.77,broken clouds,21,6.27
Jaunpur,28.99,very heavy rain,31,2.21
Jamnagar,27.54,overcast clouds,84,3.72
Itanagar,27.49,overcast clouds,95,0.87
Ichalkaranji,25.17,broken clouds,83,7.05
Hubballi,24.06,overcast clouds,76,9.69
Hosapete,27.23,overcast clouds,66,11.21
Hisar,42.98,broken clouds,18,1.16
Haridwar,33.65,broken clouds,38,2.57
Haldwani,28.64,light rain,31,1.17
Gwalior,39.33,broken clouds,32,2.01
Gurugram,34.01,haze,52,3.09
Guntur,33.75,broken clouds,61,3.75
Guntakal,30.25,overcast clouds,50,10.4
Gondiā,31.11,broken clouds,64,5.19
Godhra,34.64,broken clouds,51,5.25
Ghaziabad,34.08,broken clouds,33,4.61
Gangtok,24.09,broken clouds,92,0.85
Durg,35.05,overcast clouds,52,3.95
Dombivali,29.97,light rain,67,4.12
Dispur,31.96,overcast clouds,88,1.06
Dindigul,30.51,overcast clouds,59,1.75
Dibrugarh,29.03,mist,84,1.03
Dewas,32.12,broken clouds,56,3.56
Deoria,38.63,overcast clouds,35,2.29
Darjeeling,20.46,overcast clouds,93,1.27
Darbhanga,37.46,overcast clouds,38,2.96
Damoh,36.88,broken clouds,38,4.99
Daman,29.23,overcast clouds,78,3.26
Cuddalore,32.07,overcast clouds,59,6.42
Chitradurga,25.49,overcast clouds,64,10.77
Chāpra,38.95,broken clouds,31,2.94
Chandrapur,33.86,overcast clouds,54,3.75
Chandannagar,32.93,overcast clouds,51,6.86
Kannur,27.73,broken clouds,82,4.53
Wardha,32.75,overcast clouds,56,3.03
Vizianagaram,32.76,overcast clouds,58,6.01
Vidisha,36.66,scattered clouds,39,2.76
Vellore,34.22,overcast clouds,40,7.97
Ulhasnagar,30.0,overcast clouds,68,3.8
Udaipur,35.62,haze,46,0.0
Ootacamund,15.16,overcast clouds,82,2.61
Tirupati,28.66,light intensity drizzle,94,3.09
Thanjavur,30.95,overcast clouds,74,5.03
Arrah,38.93,broken clouds,32,3.45
Anantapur,29.96,overcast clouds,53,12.1
Akola,33.84,broken clouds,53,1.25
Ahmednagar,30.23,broken clouds,59,5.27
Achalpur,34.04,broken clouds,47,2.45
Abohar,44.17,clear sky,13,2.68
Noida,34.16,scattered clouds,30,5.73
Thoothukudi,33.18,scattered clouds,52,7.72
Ramagundam,33.38,overcast clouds,55,1.97
Yelahanka,27.57,scattered clouds,60,8.23
Yavatmal,32.39,overcast clouds,53,2.61
Maheshtala,32.99,broken clouds,53,6.82
Siwān,39.19,broken clouds,34,2.33
Sirsa,44.42,scattered clouds,13,1.99
Sīkar,36.82,moderate rain,32,5.23
Shyamnagar,32.95,overcast clouds,51,6.92
Serampore,32.96,haze,75,5.14
Shivpuri,37.38,broken clouds,35,1.58
Shahjahanpur,41.52,broken clouds,27,1.5
Shahdol,33.68,overcast clouds,48,2.11
Seoni,31.24,broken clouds,58,4.32
Sawai Madhopur,33.4,broken clouds,52,3.6
Satna,37.85,broken clouds,35,2.2
Satara,24.87,scattered clouds,82,4.36
Sangli,26.15,broken clouds,79,7.95
Sambhal,42.23,moderate rain,24,2.96
Sahāranpur,39.27,broken clouds,31,6.59
Saugor,35.72,broken clouds,40,4.02
Robertsonpet,26.5,overcast clouds,56,7.57
Rishra,32.96,haze,75,5.14
Rewāri,42.54,broken clouds,23,2.89
Ratnagiri,28.51,overcast clouds,77,4.27
Ratlām,32.48,overcast clouds,54,3.06
Raniganj,35.94,haze,49,4.12
Rāmpur,41.27,light rain,27,0.68
Rāmgundam,33.27,overcast clouds,56,1.91
Ramanathapuram,32.54,overcast clouds,53,10.06
Rajapalayam,29.31,overcast clouds,61,3.67
Rāiganj,36.85,overcast clouds,44,2.57
Raebareli,40.56,scattered clouds,31,2.79
Borivali,30.88,mist,74,4.63
Bokaro,37.87,overcast clouds,35,3.84
Bodh Gaya,35.94,haze,49,4.12
Bilimora,31.94,overcast clouds,71,3.5
Bilāspur,35.16,overcast clouds,43,1.7
Bijnor,35.35,broken clouds,43,6.43
Bhusawal,34.51,broken clouds,51,2.25
Bhind,41.12,scattered clouds,29,2.62
Bhīmavaram,30.0,broken clouds,70,5.17
Bhilwara,35.98,broken clouds,37,3.17
Bhayandar,30.97,overcast clouds,74,4.57
Bhātpāra,32.94,overcast clouds,51,6.81
Bharūch,33.53,light rain,57,4.31
Bhāgalpur,38.12,overcast clouds,37,3.87
Bhadreswar,32.95,overcast clouds,52,6.94
Bhadravati,24.4,overcast clouds,79,6.86
Bhadohi,28.95,heavy intensity rain,31,2.29
Beypore,27.56,broken clouds,83,2.57
Beāwar,35.9,overcast clouds,36,1.09
Batāla,42.81,clear sky,11,3.24
Basti,41.35,light rain,29,2.01
Barshi,33.06,scattered clouds,44,4.78
Barnāla,44.7,scattered clouds,13,3.58
Bargarh,36.41,overcast clouds,40,2.96
Bardhaman,35.39,broken clouds,49,8.2
Bārāsat,32.96,haze,75,5.14
Baranagar,32.97,haze,75,5.14
Bārākpur,32.95,haze,75,5.14
Bānsbāria,32.92,overcast clouds,50,6.45
Bangaon,34.87,overcast clouds,50,5.75
Bānda,41.07,clear sky,28,3.15
Bālurghāt,35.1,overcast clouds,50,4.53
Bāli,32.99,haze,75,5.14
Baidyabati,32.95,haze,75,5.14
Bahraich,39.83,broken clouds,30,5.99
Bahadurgarh,34.08,scattered clouds,20,3.76
Bagalkot,28.7,overcast clouds,62,9.83
Bagaha,39.4,broken clouds,34,3.27
Badlapur,29.88,overcast clouds,75,3.37
Azamgarh,39.85,broken clouds,33,3.37
Avadi,35.19,scattered clouds,58,5.14
Auraiya,41.63,moderate rain,27,3.72
Ashoknagar,33.66,broken clouds,48,3.83
Puruliya,35.93,overcast clouds,40,1.33
Proddatūr,34.83,overcast clouds,42,9.85
Ponnāni,27.62,overcast clouds,84,4.56
Pollachi,27.7,overcast clouds,77,7.21
Pīlibhīt,41.17,broken clouds,27,3.91
Phagwāra,45.33,few clouds,12,4.6
Patiāla,45.02,scattered clouds,15,1.62
Pātan,29.1,overcast clouds,71,7.15
Paradip,31.49,broken clouds,68,8.56
Panipat,42.02,broken clouds,22,3.91
Pānihāti,32.97,haze,75,5.14
Pandharpur,30.92,broken clouds,57,7.01
Palani,28.97,overcast clouds,64,4.65
Pallāvaram,34.8,scattered clouds,59,5.14
Pāli,35.81,overcast clouds,35,0.58
Pālanpur,25.81,overcast clouds,83,4.1
Dharashiv,31.68,scattered clouds,48,5.42
Orai,41.22,broken clouds,29,3.16
North Lakhimpur,30.03,mist,79,1.54
Nizāmābād,32.14,broken clouds,53,3.7
Neyveli,33.46,overcast clouds,47,4.15
Nabadwip,36.25,overcast clouds,44,6.02
Narasaraopet,33.99,broken clouds,48,5.81
Nāngloi Jāt,34.06,haze,52,3.09
Nandyāl,32.76,overcast clouds,46,6.69
Naihāti,32.94,overcast clouds,50,6.71
Nagercoil,26.74,overcast clouds,82,5.95
Nagda,34.32,broken clouds,49,4.49
Nagapattinam,29.65,overcast clouds,69,5.39
Nadiād,34.09,overcast clouds,50,3.7
Muzaffarpur,39.84,broken clouds,32,1.81
Muzaffarnagar,34.4,overcast clouds,44,4.94
Mussoorie,23.93,overcast clouds,51,1.33
Murwāra,35.17,broken clouds,44,3.49
Munnar,16.52,overcast clouds,99,2.99
Munger,39.45,overcast clouds,34,4.13
Mothīhāri,40.33,broken clouds,31,2.15
Mirzāpur,28.95,light rain,33,3.26
Miryalaguda,32.6,broken clouds,54,3.51
Mettupalayam,27.47,overcast clouds,65,2.81
Medinīpur,35.57,broken clouds,50,6.93
Medak,31.33,broken clouds,55,2.67
Mayiladuthurai,30.73,overcast clouds,57,6.43
Mormugao,28.81,broken clouds,79,5.66
