City,Temperature,Condition,Humidity,Wind
Palāsa,31.78,broken clouds,62,4.94
Pālakollu,31.43,broken clouds,64,4.12
Paithan,30.85,overcast clouds,53,2.18
Padrauna,39.88,broken clouds,32,1.64
Ottapalam,25.67,overcast clouds,91,1.84
Ozar,28.53,light rain,71,5.67
Obra,37.84,moderate rain,36,2.68
Nūzvīd,35.42,broken clouds,57,3.46
Nokha,41.81,broken clouds,21,6.61
Nirmal,32.45,broken clouds,54,2.24
Nipāni,24.61,broken clouds,85,7.21
Nīmbāhera,35.1,broken clouds,41,1.75
Neyyāttinkara,25.87,overcast clouds,87,5.13
Nedumangād,25.66,drizzle,89,4.12
Nawanshahr,44.84,few clouds,15,4.03
Nawalgarh,39.53,broken clouds,27,5.74
Nawāda,38.74,overcast clouds,34,4.9
Nawābganj,31.0,scattered clouds,26,2.95
Navsari,31.94,overcast clouds,70,3.78
Naugachhia,37.57,overcast clouds,39,3.21
Nasīrābād,34.56,moderate rain,42,2.74
Narwāna,43.93,broken clouds,18,5.84
Narnaul,40.24,overcast clouds,26,3.22
Narasapuram,30.76,scattered clouds,70,4.92
Nandurbar,34.07,broken clouds,50,2.4
Namakkal,28.89,overcast clouds,64,7.13
Nakodar,45.5,clear sky,11,1.33
Najībābād,32.57,light rain,53,3.19
Nagīna,37.47,broken clouds,38,6.36
Nāgaur,39.84,broken clouds,24,5.87
Nābha,45.23,scattered clouds,15,2.08
Muradnagar,34.05,overcast clouds,33,4.58
Muktsar,44.7,clear sky,13,5.08
Mughal Sarāi,29.0,light rain,32,2.79
Mudhol,28.1,overcast clouds,65,10.21
Mubarakpur,39.71,broken clouds,33,3.35
Morvi,26.9,overcast clouds,84,3.52
Morādābād,41.38,light rain,26,1.94
Mokameh,38.35,overcast clouds,36,0.63
Mettur,31.64,broken clouds,59,2.46
Mawana,38.75,broken clouds,33,0.61
Masaurhi Buzurg,38.94,broken clouds,33,0.68
Mārkāpur,34.35,broken clouds,44,6.0
Mānsa,44.86,clear sky,13,3.03
Mannargudi,31.21,overcast clouds,60,3.59
Manmād,30.21,moderate rain,63,4.11
Māngrol,28.7,light rain,81,5.86
Mangalagiri,35.96,broken clouds,64,4.71
Mandi,34.1,scattered clouds,25,5.41
Mancherial,33.01,overcast clouds,58,1.89
Mahabalipuram,34.93,overcast clouds,57,8.05
Malkāpur,34.12,moderate rain,51,0.81
Makrāna,36.0,broken clouds,35,2.12
Mainpuri,42.38,moderate rain,24,2.0
Mahoba,40.06,few clouds,31,3.9
Mahbūbnagar,30.54,overcast clouds,51,5.5
Mahāsamund,35.07,overcast clouds,54,3.03
Madhupur,36.82,overcast clouds,38,2.97
Madhubani,38.35,moderate rain,37,3.32
Madgaon,28.83,broken clouds,79,5.66
Mācherla,31.25,overcast clouds,61,0.86
Luckeesarai,39.67,overcast clouds,33,2.23
Lonavla,30.18,overcast clouds,89,2.37
Lāharpur,40.71,broken clouds,29,2.55
Kunnamkulam,26.9,overcast clouds,85,3.77
Kumta,29.86,overcast clouds,92,5.13
Kottagūdem,31.96,broken clouds,64,2.06
Kotagiri,17.23,overcast clouds,68,1.49
Koratla,32.01,broken clouds,56,2.7
Kopargaon,31.66,broken clouds,56,4.33
Konnagar,32.98,haze,75,5.14
Konch,40.93,scattered clouds,29,2.3
Kollegāl,27.4,broken clouds,61,7.53
Kodungallūr,25.97,overcast clouds,84,3.5
Koch Bihār,31.61,overcast clouds,75,0.92
Kishanganj,34.89,overcast clouds,55,2.12
Kīratpur,31.44,overcast clouds,56,4.8
Khopoli,27.83,overcast clouds,86,2.52
Khatauli,35.94,broken clouds,39,5.24
Khargone,34.1,moderate rain,50,3.52
Khardaha,32.99,haze,75,5.14
Khāmgaon,33.68,broken clouds,52,2.3
Khambhāt,32.55,overcast clouds,63,4.32
Khajuraho,38.45,broken clouds,34,3.61
Khair,40.5,light rain,30,1.3
Khagaul,38.95,haze,53,2.57
Khadki,30.58,broken clouds,59,6.22
Keshod,29.23,overcast clouds,77,4.86
Kayamkulam,27.76,overcast clouds,83,4.46
Kāvali,35.56,overcast clouds,39,5.51
Kātrās,38.32,overcast clouds,34,1.46
Kātoya,37.16,broken clouds,41,6.66
Katihar,36.14,overcast clouds,44,2.04
Kathua,44.42,clear sky,12,4.31
Kasganj,41.83,broken clouds,27,4.56
Kāsaragod,27.98,overcast clouds,84,5.27
Karnāl,41.87,overcast clouds,25,5.0
Karjat,28.81,overcast clouds,80,2.57
Karīmganj,28.98,overcast clouds,88,1.35
Kāranja,32.3,overcast clouds,56,1.08
Kāramadai,27.21,overcast clouds,66,4.15
Kāraikāl,29.76,overcast clouds,64,5.98
Karad,27.18,broken clouds,70,5.98
Kandukūr,36.01,overcast clouds,37,4.9
Kāndi,37.37,overcast clouds,39,6.57
Kāmthi,34.17,broken clouds,49,4.51
Cumbum,24.38,overcast clouds,88,3.93
Kalyani,32.94,broken clouds,49,6.19
Kalpatta,21.61,overcast clouds,95,2.0
Kālna,35.9,broken clouds,46,5.37
Kālka,34.16,broken clouds,33,3.52
Kāliyāganj,35.34,overcast clouds,50,3.1
Kairana,41.51,overcast clouds,26,4.22
Kadiri,30.08,broken clouds,50,9.6
Kadi,33.92,overcast clouds,60,4.71
Kadayanallur,25.8,overcast clouds,85,5.59
Junnar,27.11,broken clouds,78,4.47
Jhumri Telaiya,34.73,overcast clouds,41,0.3
Jorhāt,30.71,overcast clouds,77,1.24
Jharia,38.41,overcast clouds,34,2.21
Jhālāwār,37.8,scattered clouds,37,2.35
Jhajjar,34.06,moderate rain,23,2.9
Jeypore,31.3,light rain,54,2.2
Jainagar,38.41,heavy intensity rain,37,3.1
Jatani,32.72,haze,72,4.12
Jaora,31.81,broken clouds,57,2.95
Jānjgīr,34.76,overcast clouds,45,2.48
Jamūī,38.18,overcast clouds,36,4.02
Jamkhandi,28.75,broken clouds,62,8.91
Jalpāiguri,31.78,overcast clouds,73,1.5
Jālaun,41.59,broken clouds,27,2.73
Jagtiāl,31.74,overcast clouds,59,2.72
Jagraon,45.39,clear sky,12,2.31
Jagdīshpur,30.98,scattered clouds,24,3.08
Islāmpur,32.45,heavy intensity rain,66,3.06
Ilkal,28.16,overcast clouds,62,10.31
Igatpuri,25.1,overcast clouds,86,3.15
Idappadi,31.61,overcast clouds,58,3.83
Hoshiārpur,44.95,few clouds,12,5.48
Hiriyūr,26.23,overcast clouds,68,10.15
Hinganghāt,32.98,overcast clouds,59,2.1
Hāveri,23.09,overcast clouds,88,7.4
Hasanpur,39.02,overcast clouds,33,3.56
Harda,35.43,broken clouds,45,1.05
Hāpur,39.05,overcast clouds,33,1.76
Hānsi,43.92,broken clouds,18,2.1
Hampi,27.7,overcast clouds,63,11.23
Gūdūr,37.16,overcast clouds,30,6.64
Gudiyatham,33.01,broken clouds,42,6.96
Goyerkāta,30.54,overcast clouds,77,2.06
Gobichettipalayam,30.19,overcast clouds,60,3.79
Gopālganj,38.24,broken clouds,36,5.49
Gola Gokarannāth,40.8,overcast clouds,28,2.38
Gokarna,26.84,overcast clouds,90,6.06
Gohāna,39.87,overcast clouds,26,7.95
Gohad,40.25,broken clouds,30,2.5
Godda,38.56,overcast clouds,35,0.6
Old Goa,28.96,broken clouds,79,5.66
Goālpāra,31.49,overcast clouds,76,2.3
Giridih,36.75,overcast clouds,37,3.38
Ghātāl,35.39,overcast clouds,51,7.4
Gangoh,40.44,overcast clouds,29,6.05
Gangarampur,35.71,overcast clouds,47,2.94
Gangānagar,44.26,few clouds,14,5.31
Gajraula,39.24,overcast clouds,32,2.62
Gadhinglaj,23.62,broken clouds,87,6.36
Gadag,25.92,overcast clouds,66,11.07
Fatehpur Sikri,40.11,broken clouds,31,4.29
Fatehpur,40.28,overcast clouds,24,5.73
Fatehpur,42.36,scattered clouds,25,2.22
Fatehābād,44.61,few clouds,13,3.85
Farīdpur,42.26,broken clouds,24,4.84
Emmiganūr,31.5,overcast clouds,49,8.66
Ellora Caves,29.88,scattered clouds,62,2.38
Elamanchili,33.06,broken clouds,67,4.82
Dumraon,39.78,broken clouds,33,1.19
Dum Dum,32.99,haze,75,5.14
Doddaballapura,27.06,broken clouds,61,8.13
Deesa,26.2,broken clouds,87,2.28
Diphu,27.02,light rain,96,0.31
Deglur,34.4,broken clouds,41,3.71
Dhūri,44.54,broken clouds,14,3.92
Dhulian,38.76,broken clouds,35,2.4
Dhubri,31.96,overcast clouds,70,3.82
Dhrāngadhra,29.32,overcast clouds,71,4.01
Dhoraji,28.64,overcast clouds,71,6.67
Dholka,34.19,broken clouds,50,5.48
Dhenkānāl,35.06,overcast clouds,46,4.68
Dharamsala,28.64,broken clouds,38,3.13
Dharapuram,27.85,overcast clouds,65,10.33
Dhār,32.11,broken clouds,55,2.41
Dhamtari,32.13,overcast clouds,56,4.32
Devanahalli,27.1,scattered clouds,57,8.23
Deolāli,28.07,broken clouds,74,5.18
Deoband,32.94,overcast clouds,49,5.85
Daund,30.73,broken clouds,59,7.14
Datia,37.82,broken clouds,36,4.58
Dandeli,23.13,overcast clouds,90,4.33
Dohad,33.8,overcast clouds,51,3.78
Dadri,34.1,overcast clouds,33,1.46
Dabra,38.82,broken clouds,34,2.43
Dabhoi,33.96,overcast clouds,58,3.28
Chopda,34.39,broken clouds,50,3.72
Chīrāla,31.04,overcast clouds,64,1.57
Chiplūn,29.71,broken clouds,71,2.52
Chintamani,27.08,broken clouds,53,8.71
Chikodi,25.36,broken clouds,78,8.57
Chik Ballāpur,26.91,broken clouds,59,8.57
Chhibrāmau,41.27,moderate rain,27,4.87
Chhatarpur,38.5,broken clouds,34,3.92
Chengalpattu,34.57,overcast clouds,29,8.06
Channapatna,28.47,overcast clouds,60,6.35
Changanācheri,27.74,moderate rain,82,2.46
Chāndpur,42.1,broken clouds,25,3.46
Chanderi,36.96,broken clouds,36,2.16
Challakere,27.35,overcast clouds,56,11.49
Chalisgaon,31.4,heavy intensity rain,63,2.56
Chakradharpur,34.55,overcast clouds,48,2.79
Chāībāsa,37.45,overcast clouds,48,4.19
Buxar,40.02,broken clouds,32,1.3
Yadgir,32.47,overcast clouds,46,3.37
Wāshīm,31.51,broken clouds,56,1.82
Warud,32.74,scattered clouds,52,3.03
Wani,35.42,broken clouds,45,3.48
Vrindāvan,41.88,moderate rain,27,3.4
Visnagar,28.69,broken clouds,71,6.08
Virudunagar,30.21,overcast clouds,44,6.53
Vinukonda,32.16,overcast clouds,55,3.2
Villupuram,35.19,overcast clouds,40,3.99
Verāval,28.99,overcast clouds,80,6.23
Varkala,25.76,overcast clouds,85,5.34
Valparai,20.32,overcast clouds,95,1.94
Uran,30.01,broken clouds,82,4.55
Upleta,28.36,overcast clouds,77,5.34
Unjha,27.94,broken clouds,74,6.86
Una,31.9,overcast clouds,62,2.97
Umred,34.15,broken clouds,59,3.61
Ullal,27.5,broken clouds,89,5.14
Ujhāni,43.1,broken clouds,23,1.16
Tura,27.51,moderate rain,92,2.04
Tuni,30.93,broken clouds,68,6.52
Tūndla,40.49,broken clouds,30,2.25
Tumsar,33.07,scattered clouds,55,5.86
Tohāna,45.16,scattered clouds,14,2.04
Tiruvallur,34.84,overcast clouds,33,7.91
Tiruvalla,27.71,light rain,86,2.43
Tirur,27.54,overcast clouds,85,3.36
Tiruchengode,31.34,broken clouds,60,8.07
Tiptūr,23.34,overcast clouds,78,7.61
Tinsukia,28.91,overcast clouds,87,1.4
Tindivanam,37.24,overcast clouds,30,6.55
Tilhar,41.44,broken clouds,26,2.9
Tīkamgarh,38.43,broken clouds,34,3.75
Thenkasi,25.34,overcast clouds,89,5.08
Tehri,31.32,overcast clouds,90,2.15
Tarn Taran,42.99,few clouds,11,3.76
Tharangambadi,29.87,overcast clouds,64,6.62
Tarakeswar,34.6,broken clouds,53,7.63
Tanuku,36.18,broken clouds,65,4.83
Tandur,30.88,broken clouds,53,5.75
Tāndā,40.41,overcast clouds,30,3.38
Taliparamba,26.97,broken clouds,85,2.26
Tadpatri,32.56,overcast clouds,46,11.5
Suriāpet,32.08,broken clouds,57,4.93
Suratgarh,44.63,clear sky,12,2.42
Supaul,36.85,overcast clouds,42,1.41
Sunām,45.14,scattered clouds,13,3.35
Srivilliputhur,30.51,overcast clouds,54,4.31
Sopur,27.35,clear sky,41,3.87
Sonīpat,33.98,broken clouds,22,1.91
Aruppukkottai,30.25,overcast clouds,47,7.17
Arcot,35.14,overcast clouds,37,8.17
Arni,35.84,overcast clouds,35,7.35
Arāmbāgh,35.91,broken clouds,48,7.07
Arakkonam,33.99,overcast clouds,35,7.04
Aonla,42.38,broken clouds,24,3.23
Ankleshwar,33.23,heavy intensity rain,58,4.16
Anjār,25.71,overcast clouds,83,8.19
Anjangaon,33.87,broken clouds,48,2.32
Angul,37.12,overcast clouds,37,3.19
Anekal,27.76,broken clouds,62,6.95
Anakapalle,32.97,scattered clouds,65,5.7
Ambasamudram,27.56,overcast clouds,77,4.24
Ambajogai,32.66,scattered clouds,46,3.16
Amalāpuram,32.28,scattered clouds,60,2.26
Almora,28.9,light rain,57,1.36
Alandur,35.12,scattered clouds,57,5.14
Akbarpur,39.09,overcast clouds,33,1.23
Ābu Road,27.05,overcast clouds,81,2.53
Pūnch,35.37,scattered clouds,22,2.11
Shivaji Nagar,30.62,broken clouds,59,6.05
Pithampur,31.78,scattered clouds,58,4.12
Barbil,33.29,broken clouds,50,1.22
Airoli,30.01,haze,74,4.63
Muvattupuzha,25.78,overcast clouds,89,1.33
Perumbavoor,25.98,mist,94,0.0
Vapi,29.86,overcast clouds,74,3.23
Bellampalli,32.14,broken clouds,61,2.22
Gaddi Annaram,31.3,scattered clouds,55,4.63
Mandamarri,32.52,overcast clouds,60,1.97
Chinnachowk,35.01,broken clouds,41,7.2
Ponnur,33.87,overcast clouds,61,4.57
Palwancha,31.79,broken clouds,64,2.03
Bhawanipur,35.94,overcast clouds,49,1.71
Mulugu,32.23,overcast clouds,58,0.72
Kallakurichi,34.51,broken clouds,41,4.06
Savarkundla,31.4,light rain,61,4.2
Kanayannur,26.01,overcast clouds,81,5.06
Zunheboto,21.18,overcast clouds,97,0.41
Ziro,20.43,overcast clouds,97,1.06
Zamānia,38.75,overcast clouds,34,1.18
Zaidpur,31.03,broken clouds,28,4.74
Zahirābād,29.32,broken clouds,56,6.62
Yol,36.77,scattered clouds,28,2.88
Yeola,31.08,broken clouds,58,5.51
Yellāpur,22.31,overcast clouds,96,2.78
Yellandu,31.92,broken clouds,60,1.1
Yelbarga,26.96,overcast clouds,66,10.31
Srirāmpur,34.7,broken clouds,53,7.72
Kesabpur,32.97,broken clouds,52,7.08
Dumjor,32.97,broken clouds,53,6.8
Chakapara,32.98,haze,75,5.14
Mahiari,32.98,broken clouds,53,6.8
Pānchla,32.97,broken clouds,56,6.9
Raghudebbati,32.97,broken clouds,55,6.84
Pujali,32.97,broken clouds,56,6.94
Monoharpur,32.12,broken clouds,63,7.23
Soyībug,27.35,broken clouds,41,3.23
Singāpur,30.62,broken clouds,61,6.28
Ghatkesar,31.36,broken clouds,53,5.23
Chandūr,30.92,broken clouds,55,5.09
Chhutmalpur,33.62,broken clouds,35,5.54
Chinnasekkadu,35.49,overcast clouds,55,1.34
Porur,35.1,scattered clouds,58,5.14
Madipakkam,34.99,scattered clouds,58,5.14
Perungudi,35.05,scattered clouds,58,5.14
Madambakkam,34.74,overcast clouds,60,7.35
Vijayapura,27.15,scattered clouds,57,8.23
Adampur,45.29,clear sky,12,3.7
Sohna,34.1,few clouds,23,2.29
Sohāgpur,34.43,broken clouds,50,4.7
Soalkuchi,31.99,thunderstorm,89,1.54
Siwāna,38.48,overcast clouds,27,2.31
Sivagiri,27.88,overcast clouds,66,10.01
Sivagiri,27.71,overcast clouds,75,4.17
Sitārganj,30.13,moderate rain,25,0.18
Sītāmau,31.62,broken clouds,57,3.63
Sisauli,40.0,light rain,29,5.22
Sirūr,29.52,broken clouds,63,7.1
Sirumugai,27.75,overcast clouds,62,3.64
Sirsilla,32.24,overcast clouds,55,1.3
Sirsi,42.45,moderate rain,24,2.5
Sirsāganj,39.72,broken clouds,32,4.13
Sirsā,39.93,overcast clouds,31,2.22
Sirpur,32.06,broken clouds,63,2.45
Sironj,36.31,moderate rain,38,2.5
Sirmaur,38.7,broken clouds,32,3.07
Sīrkāzhi,31.34,overcast clouds,55,6.61
Sirāthu,40.16,broken clouds,31,1.51
Sinor,34.04,overcast clouds,57,2.65
Sinnar,28.43,broken clouds,69,4.4
Singur,32.94,overcast clouds,54,7.03
Singarāyakonda,35.15,overcast clouds,42,3.92
Sindi,34.44,overcast clouds,62,3.46
Sindgi,30.49,overcast clouds,53,7.82
Simga,35.27,broken clouds,45,4.17
Semaria,37.82,overcast clouds,34,1.9
Silao,39.72,overcast clouds,32,4.15
Sikandra Rao,41.33,broken clouds,28,2.89
Sikka,26.97,overcast clouds,93,6.7
Sijua,38.51,overcast clouds,34,1.72
Sihorā,36.62,overcast clouds,50,4.41
Sidhpura,41.34,light rain,28,4.9
Sidhaulī,41.43,moderate rain,27,3.65
Siddāpur,22.23,overcast clouds,91,5.81
Shupīyan,22.38,broken clouds,55,4.04
Shujālpur,34.65,overcast clouds,46,1.88
Shrīrangapattana,26.4,scattered clouds,69,5.66
Shrīgonda,30.5,broken clouds,59,7.94
Shorāpur,31.97,overcast clouds,45,6.43
Shōranūr,25.93,overcast clouds,91,1.43
Sholinghur,35.01,overcast clouds,37,7.73
Shīshgarh,30.34,broken clouds,24,3.37
Shirwal,27.18,broken clouds,77,5.64
Shirhatti,24.25,overcast clouds,76,9.45
Shikārpūr,39.53,broken clouds,31,1.96
